chr10	52566489	52619700
chr10	27037499	27149792
chr9	133710834	133761070
chr1	179076853	179112179
chr2	237489109	237490197
chr2	223773491	223806372
chr5	131289927	131347246
chr2	158594043	158656005
chr2	148602722	148684843
chr4	87928560	88056853
chr2	100167936	100720916
chr5	132216751	132272881
chr7	91570414	91739473
chr14	105236678	105258980
chr19	40739779	40771174
chr1	243668551	244006472
chr12	112204787	112247379
chr2	29416090	30143525
chrX	63405997	63413166
chr8	41513246	41655056
chr5	112090588	112179823
chr22	39378459	39388450
chrX	66764989	66943683
chrX	47422367	47430856
chr5	142150327	142602011
chr14	32559876	32624154
chr11	120207953	120355786
chr1	27022895	27107247
chr6	157099238	157529025
chr12	46123620	46298861
chr1	150784497	150849043
chr17	79935523	79975198
chr20	30946579	31025141
chr2	25964898	25982509
chr12	51173929	51213562
chr2	216176866	216214378
chr11	108098352	108236235
chr1	116916134	116947066
chrX	152801706	152845461
chr3	142168271	142297546
chrX	76763829	77041487
chr16	338122	397025
chr17	63526094	63554738
chr15	45003745	45008540
chr3	52436304	52443894
chr2	215593400	215674293
chr1	85733310	85742035
chr2	60687539	60780405
chr14	99640488	99737555
chr18	60795858	60985899
chr19	50169081	50177005
chr19	45252048	45262872
chr3	187440246	187451481
chr12	122459998	122497069
chr1	147083636	147094332
chr11	118769124	118780648
chr6	136582248	136601004
chrX	39911362	39937182
chrX	129139208	129190111
chr22	23523148	23657709
chr11	102195241	102207833
chr2	32582230	32842971
chr15	91290623	91358509
chr6	55620331	55739663
chr10	88635776	88683476
chr7	140434397	140624503
chr17	41197695	41276113
chr13	32890598	32972907
chr9	136898712	136918599
chr19	15360091	15383910
chr17	59760657	59938900
chr12	92537856	92539311
chrX	100604873	100630272
chr15	40453422	40512960
chr2	24253803	24262364
chr3	53529194	53845433
chr19	13049494	13054727
chr1	6845591	7826551
chr17	76989632	76993704
chr7	2946272	2998140
chr11	3022344	3078597
chr15	40895131	40947175
chr2	202131210	202151317
chr16	88943384	89043215
chr16	67063311	67132635
chr11	119077128	119170491
chr3	105377814	105586421
chr19	45281189	45303700
chr10	61552675	61666182
chr14	20779709	20784682
chr6	99991431	100010824
chr11	69456082	69466050
chr12	4383207	4409175
chr6	41903678	41909387
chr19	30303463	30314684
chr3	32994915	32995997
chr17	38710994	38721661
chr19	7807925	7812397
chr9	5456114	5467862
chr2	204571420	204599635
chr5	149782147	149792312
chr19	42381375	42385047
chr17	62006586	62009621
chr1	193091331	193219842
chr16	68771319	68867402
chr5	24487772	24593599
chr16	64981506	65038772
chr8	95140468	95206913
chr17	37618325	37687569
chr12	58142308	58145500
chr7	92244454	92462637
chr6	36651879	36653577
chr12	12870774	12871880
chr9	21968228	21974826
chr1	51436041	51439942
chr13	28537252	28543143
chr19	33792244	33793320
chr19	33370068	33462780
chr8	57127173	57129994
chr15	93444468	93563555
chr12	6679842	6715539
chr22	29083885	29130709
chr4	54876262	54930467
chr12	104851190	105151581
chr19	42788857	42799343
chr16	10971188	11017160
chr12	122757422	122864999
chr11	57426949	57428908
chr17	57697493	57771213
chr22	19167732	19279164
chr8	87878724	88394855
chr3	128889296	128890600
chr19	54646715	54659145
chr7	145813969	148112708
chr9	123850605	123939464
chr17	48262863	48278874
chr12	48367190	48398104
chr2	189839216	189876500
chr8	100899733	100904249
chr2	208420360	208461782
chr11	46299663	46342296
chr7	137565222	137686451
chr16	3777719	3929917
chrX,Y	1314894	1331527
chr20	20016839	20036658
chr19	18794513	18888192
chr15	91073304	91185372
chr5	149433632	149465990
chr1	36931958	36945097
chr8	113237000	114449083
chr16	67644736	67671775
chr2	79878683	80874997
chr3	41265560	41280833
chr11	57558951	57583780
chr5	10973565	11903965
chr2	225338962	225449726
chr7	101460920	101892322
chr2	136872439	136873509
chr16	50783610	50830419
chr10	96796885	96829159
chr13	49280954	49281994
chr6	33286520	33289702
chrX	125298516	125299907
chr18	49867158	51057023
chr2	74588626	74607164
chr11	47236688	47260400
chr12	57910592	57911189
chr1	162688854	162750036
chr11	108535881	108811150
chrX	41193506	41206972
chr17	62496041	62502237
chr11	118625421	118656927
chr6	18225950	18264218
chr22	20073487	20097631
chr14	95556835	95599795
chr19	14626752	14629161
chr19	10828919	10941723
chr2	25457148	25536853
chr5	31401539	31529166
chr4	191005384	191006841
chr5	158126119	158526486
chr6	139134412	139223764
chr11	85956272	85989567
chr7	55086971	55273310
chrX	20146424	20159758
chr8	109214114	109260931
chr3	186501400	186507058
chr1	201980265	201984451
chrX	129200696	129215304
chr1	205585674	205593010
chr19	18555562	18632865
chr7	73442518	73483030
chr2	42396752	42557347
chr22	41489009	41574960
chr2	46525051	46611799
chr3	89156899	89528652
chr6	93953144	94129059
chr1	51822372	51984903
chr17	37856492	37884297
chr12	56474085	56495839
chr2	212248340	213403254
chr12	1137070	1599396
chr19	45854887	45873798
chr2	128015172	128051657
chr16	14014023	14042204
chr13	103498617	103528253
chr21	39755325	39947624
chr6	152129048	152420101
chr12	22778098	22837888
chr7	13935491	14028677
chr17	41605887	41622985
chr3	185766428	185823657
chr12	11803062	12043980
chr22	29664326	29696151
chr8	118811951	119123285
chr11	44129263	44265837
chr7	148504738	148544390
chr6	159187946	159239125
chr7	143053643	143057186
chr8	139144836	139380226
chr1	118165491	118166666
chrX	37026484	37029591
chr16	89805009	89883023
chr9	97863989	98011573
chr3	10070342	10140634
chr6	35420323	35434122
chr11	22646232	22647356
chr9	35074105	35079521
chr10	90750634	90774207
chr4	187509746	187630981
chr11	92570880	92624279
chr4	126237567	126412923
chr3	13659590	13679419
chr2	48035257	48066888
chr4	153244033	153332955
chr1	161551228	161647343
chr1	157545314	157567734
chr11	61562834	61563976
chr15	91428276	91438788
chr2	219846389	219849797
chr8	38271146	38314964
chr6	167412901	167453466
chr10	123239371	123353331
chr4	1795662	1808989
chr5	176516604	176524677
chr1	241661128	241683022
chr3	59737952	60522695
chr4	54244006	54325616
chr7	32997186	33044963
chr17	17116969	17131451
chr11	128564154	128680883
chrX	153577217	153599613
chr13	28578189	28674647
chr5	180035281	180076545
chr9	132652818	132805254
chr14	38060570	38064177
chr3	138664434	138665564
chr13	41133660	41240349
chr6	108882412	108986058
chrX	70316379	70321934
chr3	71008398	71247532
chr11	118842642	118851946
chr19	676424	681708
chr1	78414451	78444688
chr16	31191536	31202759
chr17	9820545	10101707
chrX	48649517	48652571
chr3	128199862	128205874
chr10	8097619	8115986
chr12	57857475	57865844
chr3	155588660	155655481
chr19	3094650	3121177
chr9	80336239	80646151
chr20	57466782	57485884
chr14	93263783	93305791
chr6	117884417	117923451
chrX	132670152	133119476
chr14	66975246	67647654
chr16	9857006	10274268
chr7	86394462	86493671
chr1	226252053	226259180
chr17	73774676	73775255
chr16	56966157	56977202
chr8	80677423	80679898
chr14	62162523	62213803
chr7	75167493	75368238
chr6	26031878	26032288
chr6	27107088	27107399
chr6	29910331	29913232
chr17	53342846	53398240
chr6	34208558	34212661
chr12	66219051	66357072
chr12	121416572	121438995
chr7	26232136	26240197
chr8	42752275	42873641
chr7	27222415	27224763
chr7	27237817	27239696
chr7	27203222	27205076
chr12	54367026	54369197
chr12	54332691	54339040
chr2	176972084	176973870
chr2	176957644	176959459
chr11	532636	534322
chr14	102548049	102605741
chr6	44216367	44221335
chr1	23885451	23885917
chr2	209101803	209116275
chr15	90627498	90645622
chr8	42129619	42188497
chr7	50358658	50468325
chr4	123372907	123377595
chr16	27441393	27460604
chr5	55236910	55272106
chr5	35857080	35876588
chr6	393153	407598
chrX	107975801	107979574
chr22	35463081	35481686
chr2	187455066	187542019
chr5	156607989	156679688
chr1	65300245	65351947
chr9	5021988	5126791
chr19	17937552	17955226
chr7	27872419	28220196
chr1	59247747	59248742
chr10	76602616	76790804
chr17	47866197	47904864
chr11	128781169	128786626
chr12	394622	498257
chrX	53222149	53254071
chrX	44732798	44970656
chr4	55946108	55991460
chr18	60999015	61034351
chr19	10597328	10610709
chr7	138522651	138604221
chr10	118646066	118764590
chr10	32304457	32344901
chr4	55524182	55604723
chr9	110248032	110251453
chr10	3821731	3827206
chr19	51376730	51381815
chr11	118307228	118392887
chr7	151833917	152132871
chr12	49415563	49449107
chr15	40675037	40685798
chr12	25362729	25398318
chr14	56078767	56147408
chr10	858866	931661
